Identification number,Section,Subsection,Head office country,Head office city,Level of interest,Fields of interest,Estimate of costs (absolute amount),Estimate of costs (as a range)
41802525291-86,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Switzerland,GENEVA,"European		global		national","General and Institutional Affairs		Economic and Financial Affairs		Trade		Competition		Development		Customs		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Justice and Fundamental Rights		Internal Market		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Information Society		Transport		Home Affairs",,400000-499999
07879611199-77,II - In-house lobbyists and trade/business/professional associations,Other organisations,Austria,Wien,"European		national","Economic and Financial Affairs		Taxation		Financial Stability		Financial Services and Capital Markets Union",,0-9999
96466191482-69,"IV - Think tanks		research and academic institutions",Think tanks and research institutions,Germany,Hamburg,"European		global		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Budget		Competition		Consumer Affairs		Education		Enlargement		Employment and Social Affairs		Youth		Justice and Fundamental Rights		Internal Market		Research and Technology		Information Society",,0-9999
74935891413-11,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Germany,Berlin,"European		global		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Humanitarian Aid		Budget		Trade		Consumer Affairs		Development		Energy		Enterprise		Environment		Justice and Fundamental Rights		Fisheries and Aquaculture		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Transport		Climate Action		Home Affairs",,50000-99999
30032231266-82,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,France,Paris,"European		global		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Budget		Trade		Competition		Consumer Affairs		Development		Education		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Information Society		Transport		Home Affairs",,200000-299999
77903441267-16,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,France,Paris,"European		national		regional/local","General and Institutional Affairs		Consumer Affairs		Enterprise		Environment		Internal Market		Transport",,50000-99999
15066281874-49,I - Professional consultancies/law firms/self-employed consultants,Law firms,United Kingdom,London,"European		national","Economic and Financial Affairs		Audiovisual and Media		Competition		Culture		Customs		Enterprise		Justice and Fundamental Rights		Internal Market		Research and Technology		Public Health		Information Society		Home Affairs		Communication",,0-9999
75755621888-61,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,Germany,Düsseldorf,national,"Economic and Financial Affairs		Trade		Competition		Customs		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Internal Market		Research and Technology		External Relations		Trans-European Networks		Information Society		Transport		Climate Action",400000,
23020671103-67,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Belgium,Brussels,"European		global		national","General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Culture		Development		Customs		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society		Sport		Transport		Climate Action		Home Affairs		Communication		Financial Stability		Financial Services and Capital Markets Union",,1000000-1249999
26640451032-87,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Belgium,Louvain-la-Neuve,"European		global		national		regional/local","Trade		Competition		Customs		Energy		Enterprise		Environment		Taxation		Internal Market		Research and Technology		Public Health		Transport		Climate Action",,100000-199999
46904231219-48,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Mechelen,"European		national","Economic and Financial Affairs		Competition		Development		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Internal Market		Research and Technology		Public Health		Climate Action",,200000-299999
85810161889-67,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Germany,Frankfurt am Main,European,"General and Institutional Affairs		Trade		Consumer Affairs		Energy		Enterprise		Environment		Internal Market",,50000-99999
76702291980-77,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,France,Paris,national,"General and Institutional Affairs		Trade		Customs		Enlargement		Environment		Internal Market		External Relations		Transport",,100000-199999
50629161801-61,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,France,Paris,"European		national","General and Institutional Affairs		Economic and Financial Affairs		Budget		Competition		Employment and Social Affairs		Energy		Environment		Taxation		Justice and Fundamental Rights		Internal Market		Regional Policy		Research and Technology		Trans-European Networks		Transport		Climate Action",,400000-499999
55109801981-05,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Netherlands,Den Haag,European,"Consumer Affairs		Customs		Internal Market		Food Safety",,0-9999
47504237466-74,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Spain,Madrid,"European		national		regional/local","Economic and Financial Affairs		Budget		Competition		Consumer Affairs		Development		Energy		Enterprise		Environment		Taxation		Internal Market		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Information Society		Transport		Climate Action		Home Affairs",,50000-99999
99109167211-74,"IV - Think tanks		research and academic institutions",Think tanks and research institutions,Spain,Manresa,regional/local,"Research and Technology		Trans-European Networks		Transport",,0-9999
06093891220-52,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Germany,München,"European		global		national		regional/local","Economic and Financial Affairs		Trade		Competition		Consumer Affairs		Customs		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Internal Market		Research and Technology		Trans-European Networks		Information Society		Transport		Climate Action		Communication",,100000-199999
